REFERENCIA,PRODUCTO,COSTO COLOMBIA SIN  IVA,PRECIO COLOMBIA SIN  IVA,PRECIO COLOMBIA CON  IVA,AMERICA PRECIO EN DOLARES SIN FLET,FLETE,PRECIO TOTAL EN DOLARES,AMERIC A PRECIO EN DOLARE S SIN FLET,FLETE,ARANCE L,PRECIO TOTAL EN DOLARES,PRECIO EN DOLARES EUROPA,FLETES EUROPA,PRECIO EN DOLARES EUROPA,PRECIO EN EUROS CONTIN ENTE EUROPE O SIN ENVIO,FLETE INERNA CIONAL EUROPA Y OCEANI A,PRECIO EN EUROS CONTIN ENTE EUROPE O  CON FLETE,CHILE PRECIO EN DOLARE S SIN FLET,PRECIO FLETE,PRECIO TOTAL EN DOLARES
"CM05-N
CM05-E",CM05S,$ 29.071.900,$ 29.316.202,$ 34.886.280,$ 10.261,$ 800,$ 11.061,$ 10.261,$ 800,$ 1.106,$ 12.167,$ 10.261,$ 1.200,$ 11.461,$ 9.235,$ 1.080,$ 10.315,$ 10.261,$ 1.200,$ 11.461
"CM05-N
CM05-E",CM05i,$ 32.336.134,$ 6.143.865,$ 38.479.999,$ 11.318,$ 800,$ 12.118,$ 11.318,$ 800,$ 1.212,$ 13.329,$ 11.318,$ 1.200,$ 12.518,$ 10.186,$ 1.080,$ 11.266,$ 11.318,$ 1.200,$ 12.518
"CM06-N
CM05-E",CM06,$ 10.855.685,$ 10.946.909,$ 13.026.822,$ 3.831,$ 650,$ 4.481,$ 3.831,$ 650,$ 448,$ 4.930,$ 3.831,$ 766,$ 4.597,$ 3.448,$ 689,$ 4.138,$ 3.831,$ 900,$ 4.731
"CM06B-N
CM06B-E",CM06B,$ 14.910.000,$ 15.035.294,$ 17.892.000,$ 5.262,$ 650,$ 5.912,$ 5.262,$ 650,$ 591,$ 6.504,$ 5.262,$ 766,$ 6.028,$ 4.736,$ 689,$ 5.426,$ 5.262,$ 900,$ 6.162
"CM07-N
CM07-E",CM07,$ 12.875.000,$ 12.983.193,$ 15.450.000,$ 4.544,$ 650,$ 5.194,$ 4.544,$ 650,$ 519,$ 5.714,$ 4.544,$ 766,$ 5.310,$ 4.090,$ 689,$ 4.779,$ 4.544,$ 900,$ 5.444
"CM08-N
CM08-E",CM08,$ 16.043.580,$ 16.178.400,$ 19.252.296,$ 5.662,$ 650,$ 6.312,$ 5.662,$ 650,$ 631,$ 6.944,$ 5.662,$ 766,$ 6.428,$ 5.096,$ 689,$ 5.786,$ 5.662,$ 900,$ 6.562
,PELAPAPAS,,$ 4.369.748,$ 5.200.000,$ 1.529,$ 650,$ 2.179,$ 1.529,$ 650,$ 218,$ 2.397,$ 1.529,$ 850,$ 2.379,$ 1.376,$ 765,$ 2.141,,,
CE02-N,LAMINADORA,$ 4.937.408,$ 4.978.899,$ 5.924.890,$ 1.743,$ 550,$ 2.293,$ 1.743,$ 550,$ 229,$ 2.522,$ 1.743,$ 766,$ 2.509,$ 1.568,$ 689,$ 2.258,$ 1.743,$ 800,$ 2.543
CE04CV-N,LAMI VARIADOR,$ 8.668.000,$ 8.740.840,$ 10.401.600,$ 3.059,$ 750,$ 3.809,$ 3.059,$ 750,$ 381,$ 4.190,$ 3.059,$ 827,$ 3.886,$ 2.753,$ 744,$ 3.498,$ 3.059,$ 1.000,$ 4.059
MEZCLADOR,MEZCLADORA,$ 10.734.454,$ 10.824.659,$ 12.881.345,$ 3.789,$ 1.400,$ 5.189,$ 3.789,$ 1.400,$ 519,$ 5.707,$ 3.789,$ 1.218,$ 5.007,$ 3.410,$ 1.096,$ 4.506,$ 3.789,$ 1.850,$ 5.639
