Término de búsqueda;Clics;Impr.;CTR;Prom. CPC;Costo;Porcentaje de conv.;Conversiones;Costo/conv.;Negativa sugerida
tortillas de máquina;0;1;0.00%;0;0.00;0.00%;0.00;0.00;SI
receta empanadas colombianas;0;5;0.00%;0;0.00;0.00%;0.00;0.00;SI
formadora de hamburguesas;0;18;0.00%;0;0.00;0.00%;0.00;0.00;SI
selladora de empanadas;0;2;0.00%;0;0.00;0.00%;0.00;0.00;NO
precio de maquina de hacer empanadas;0;2;0.00%;0;0.00;0.00%;0.00;0.00;NO
herramienta para hacer empanadas;0;7;0.00%;0;0.00;0.00%;0.00;0.00;NO
con que masa se hacen las empanadas;0;1;0.00%;0;0.00;0.00%;0.00;0.00;NO
maquina para hacer crema chantilly;0;5;0.00%;0;0.00;0.00%;0.00;0.00;SI
molde empanada;0;1;0.00%;0;0.00;0.00%;0.00;0.00;SI
carro de empanadas;0;2;0.00%;0;0.00;0.00%;0.00;0.00;NO
empanadictos colombia;0;1;0.00%;0;0.00;0.00%;0.00;0.00;SI
ad lover;0;1;0.00%;0;0.00;0.00%;0.00;0.00;NO
venta de empanadas para negocio;15;150;10.00%;238.84;3582.61;0.00%;0.00;0.00;SI
maquina engomadora de papel;0;1;0.00%;0;0.00;0.00%;0.00;0.00;NO
tequeños para la venta;0;2;0.00%;0;0.00;0.00%;0.00;0.00;SI
maquin de colombia;3;125;2.40%;68.00;204.00;66.67%;2.00;102.00;SI
maquinas para hacer tequeños;0;6;0.00%;0;0.00;0.00%;0.00;0.00;NO
maquinas para arepas;1;17;5.88%;167.00;167.00;0.00%;0.00;0.00;NO
fábrica de empanadas;2;20;10.00%;144.00;288.00;0.00%;0.00;0.00;NO
emprendedores colombianos;0;6;0.00%;0;0.00;0.00%;0.00;0.00;SI
laminadora de arepas manual;0;10;0.00%;0;0.00;0.00%;0.00;0.00;SI
barriles ahumadores;0;6;0.00%;0;0.00;0.00%;0.00;0.00;SI
laminadoras de masa para empanadas;0;2;0.00%;0;0.00;0.00%;0.00;0.00;NO
