REFERENCIA,PRODUCTO,Costo,COLOMBIA,AMERICA,,,ESTADOS UNIDOS,,,,EUROPA EN DOLARES,,,EUROPA -OCEANIA PRECIO EUROS,,,CHILE,,
REFERENCIA,PRODUCTO,Costo,PRECIO CON IVA,AMERICA  PRECIO  EN DOLARES SIN FLET,FLETE,PRECIO TOTAL EN DOLARES,AMERICA  PRECIO  EN DOLARES SIN FLET,FLETE,ARANCEL,PRECIO TOTAL EN DOLARES,PRECIO EN DOLARES,FLETES,PRECIO EN DOLARES EUROPA,PRECIO EN EUROS CONTINENTE EUROPEO SIN ENVIO,FLETE INERNACIONAL  EUROPA Y OCEANIA,PRECIO EN EUROS  CONTINENTE EUROPEO  CON FLETE ,CHILE  PRECIO  EN DOLARES SIN FLET,PRECIO FLETE,PRECIO TOTAL EN DOLARES
,1 CUPO ESCUELA DE LA EMPANADA MAIZ 2 HORAS, $ 650.000 , $ 650.000 ,,,, $ 210 , $ -   , $ 21 , $ 231 ,,,, $ 210 ,0,210, $ 210 , $ -   , $ 210 
,1 CUPO ESCUELA DE LA EMPANADA TRIGO 1 HORAS, $ 450.000 , $ 450.000 ,,,, $ 141 , $ -   , $ 14 , $ 155 ,,,, $ 141 ,0,141, $ 141 , $ -   , $ 141 
M/LUNACM06B-NACIONAL ACRYLIC_CM06B-INTENAC,ACRILICO GRANDE M 2 DISCOS, $ 207.366 , $ 248.839 ,,,, $ 63 , $ 120 , $ 18 , $ 201 ,,,, $ 63 ,156,219, $ 63 , $ 120 , $ 183 
,ACTUALIZACION, Previa lista, Previa lista,,,,, $ 120 , $ 12 , $ 132 ,,,, $ -   ,156,156, $ -   , $ 120 ,
MQARGOLLAS MAQARGOLLA-E,ARGOLLA, $ 21.660 , $ 25.992 ,,,, $ 7 , $ 120 , $ 13 , $ 139 ,,,, $ 7 ,156,163, $ 7 , $ 120 , $ 127 
BARRIL,BARRIL AZADOR Nuevo, $ 909.500 , $ 850.000 ,,,, $ 276 , $ 120 , $ 40 , $ 435 ,,,, $ 276 ,550,826, $ 276 , $ 350 , $ 626 
CANASTA,CANASTAS , $ 25.680 , $ 30.816 ,,,, $ 8 , $ 120 , $ 13 , $ 141 ,,,, $ 8 ,156,164, $ 8 , $ 120 , $ 128 
JUEGOCAN,CANASTAS CON MANGO x 2, $ 129.800 , $ 155.760 ,,,, $ 39 , $ 120 , $ 16 , $ 175 ,,,, $ 39 ,156,195, $ 39 , $ 120 , $ 159 
CEREAL-CEREALPOLLO,CEREAL BULTO NACIONAL, $ 238.238 , $ 297.798 ,,,,, $ 120 , $ 12 , $ 132 ,,,, $ -   ,156,156, $ -   , $ 120 ,
,CEREAL BULTO  DESMECHADO  POLLO  5 KILOS NACIONAL, $ 186.000 ,,,,,, $ 120 , $ 12 , $ 132 ,,,,,,, $ -   , $ 120 ,
,CEREAL BULTO  DESMECHADO  CARNE  15 KILOS NACIONAL, $ 540.000 ,,,,,, $ 120 , $ 12 , $ 132 ,,,,,,, $ -   , $ 120 ,
1,CILINDRO APLANADOR, $ 499.800 , $ 768.923 ,,,, $ 151 , $ 120 , $ 27 , $ 299 ,,,, $ 151 ,156,307, $ 151 , $ 120 , $ 271 
MAL32-100 SS,CILINDRO CORTADOR, $ 154.700 , $ 270.000 ,,,, $ 47 , $ 120 , $ 17 , $ 184 ,,,, $ 47 ,156,203, $ 47 , $ 120 , $ 167 
TN32-100,CILINDRO DE DESPLAZAMIENTO, cotizar, cotizar,,,, cotizar, cotizar, #VALUE!, cotizar,,,, cotizar, cotizar, cotizar, cotizar, cotizar, cotizar
