id,conversation_id,sendable_id,sendable_type,reply_id,body,type,kept_at,deleted_at,created_at,updated_at
1,1,673123,App\Models\Customer,,hola1,text,,,2025-12-19 08:32:52,2025-12-19 08:32:52
2,2,670041,App\Models\Customer,,,attachment,,,2025-12-19 08:36:53,2025-12-19 08:36:53
3,1,673123,App\Models\Customer,,fasfasd,text,,,2025-12-19 08:42:08,2025-12-19 08:42:08
4,1,673123,App\Models\Customer,,como estás?,text,,,2025-12-19 08:44:05,2025-12-19 08:44:05
5,1,673123,App\Models\Customer,,fsdfsdf,text,,,2025-12-19 08:56:52,2025-12-19 08:56:52
6,3,673549,App\Models\Customer,,Hola,text,,,2025-12-19 09:01:54,2025-12-19 09:01:54
7,3,673549,App\Models\Customer,,De donde eres,text,,,2025-12-19 09:02:03,2025-12-19 09:02:03
8,1,673123,App\Models\Customer,,afasfasd,text,,,2025-12-19 09:17:54,2025-12-19 09:17:54
9,4,673550,App\Models\Customer,,Voy a empezar,text,,,2025-12-19 09:20:26,2025-12-19 09:20:26
10,4,673550,App\Models\Customer,,Estoy e evaluando una idea,text,,,2025-12-19 09:21:36,2025-12-19 09:21:36
11,4,673550,App\Models\Customer,,Todos,text,,,2025-12-19 09:22:33,2025-12-19 09:22:33
12,4,673550,App\Models\Customer,,Más de 200,text,,,2025-12-19 09:23:22,2025-12-19 09:23:22
13,4,673550,App\Models\Customer,,"Fusagasuga, Colombia",text,,,2025-12-19 09:24:00,2025-12-19 09:24:00
14,4,673550,App\Models\Customer,,Cuánto es en pesos colombianos?,text,,,2025-12-19 09:25:43,2025-12-19 09:25:43
15,4,673550,App\Models\Customer,,Gracias,text,,,2025-12-19 09:27:27,2025-12-19 09:27:27
16,4,673550,App\Models\Customer,,Gracias,text,,,2025-12-19 09:28:21,2025-12-19 09:28:21
17,5,651305,App\Models\Customer,,https://jaato.cn/hbkw1inm/751156588683612058866fd625?_t1766155151305,text,,,2025-12-19 09:39:35,2025-12-19 09:39:35
18,1,673123,App\Models\Customer,,como estás?,text,,,2025-12-19 09:40:57,2025-12-19 09:40:57
19,6,441751,App\Models\Customer,,A mano,text,,,2025-12-19 09:55:21,2025-12-19 09:55:21
20,6,441751,App\Models\Customer,,"Empanada de peto
Arepa de huevo
Arepa de queso",text,,,2025-12-19 10:03:12,2025-12-19 10:03:12
21,7,191300,App\Models\Customer,,,attachment,,,2025-12-19 10:23:52,2026-01-05 12:37:34
22,8,191300,App\Models\Customer,,,voice,,,2025-12-19 10:23:52,2026-01-05 12:37:34
23,8,191300,App\Models\Customer,,,attachment,,,2025-12-19 10:25:40,2026-01-05 12:37:34
24,8,191300,App\Models\Customer,,,voice,,,2025-12-19 10:25:40,2026-01-05 12:37:34
25,9,673556,App\Models\Customer,,Hola,text,,,2025-12-19 12:36:14,2025-12-19 12:36:14
26,10,673558,App\Models\Customer,,Buenas tardes,text,,,2025-12-19 13:19:29,2025-12-19 13:19:29
27,10,673558,App\Models\Customer,,Las prodisco a mano,text,,,2025-12-19 13:19:34,2025-12-19 13:19:34
28,10,673558,App\Models\Customer,,A mano,text,,,2025-12-19 13:20:56,2025-12-19 13:20:56
29,10,673558,App\Models\Customer,,Empanadas deaiz,text,,,2025-12-19 13:23:07,2025-12-19 13:23:07
30,10,673558,App\Models\Customer,,En tres 100 y 150,text,,,2025-12-19 13:29:51,2025-12-19 13:29:51
31,10,673558,App\Models\Customer,,"En Armenia, Quindío
Colombia",text,,,2025-12-19 13:31:18,2025-12-19 13:31:18
32,11,673559,App\Models\Customer,,Por error; muchas gracias.,text,,,2025-12-19 14:33:02,2025-12-19 14:33:02
33,11,673559,App\Models\Customer,,"Gracias 

Dios les bendiga",text,,,2025-12-19 14:35:34,2025-12-19 14:35:34
34,12,673560,App\Models\Customer,,A mano,text,,,2025-12-19 14:37:01,2025-12-19 14:37:01
35,12,673560,App\Models\Customer,,Buenas tardes,text,,,2025-12-19 14:37:06,2025-12-19 14:37:06
36,12,673560,App\Models\Customer,,Si,text,,,2025-12-19 14:37:48,2025-12-19 14:37:48
37,12,673560,App\Models\Customer,,A mano,text,,,2025-12-19 14:38:44,2025-12-19 14:38:44
38,12,673560,App\Models\Customer,,En el momento hago empanadas y arepas,text,,,2025-12-19 14:40:00,2025-12-19 14:40:00
39,12,673560,App\Models\Customer,,Sobre 150 a 200,text,,,2025-12-19 14:41:00,2025-12-19 14:41:00
40,12,673560,App\Models\Customer,,"Junin Cundinamarca, Colobia",text,,,2025-12-19 14:41:51,2025-12-19 14:41:51
41,12,673560,App\Models\Customer,,"No sra, muchas gracias",text,,,2025-12-19 14:43:03,2025-12-19 14:43:03
42,13,672338,App\Models\Customer,,Donde eres ustd,text,,,2025-12-19 16:58:08,2025-12-19 16:58:08
43,14,418654,App\Models\Customer,,Trabajo manual,text,,,2025-12-19 17:34:48,2025-12-19 17:34:48
44,14,418654,App\Models\Customer,,Que ofertas tienen?,text,,,2025-12-19 17:35:03,2025-12-19 17:35:03
45,14,418654,App\Models\Customer,,"Pues voy a ser más explicito, tienen un equipo mas productivo solo para una persona.",text,,,2025-12-19 17:38:39,2025-12-19 17:38:39
46,14,418654,App\Models\Customer,,"Necesito un equipo más especializado , lo tienen.
Pues les dije que todo el trabajo es manual y un especificación es aumentar la producción.",text,,,2025-12-19 17:41:02,2025-12-19 17:41:02
47,14,418654,App\Models\Customer,,Claro por supuesto,text,,,2025-12-19 17:41:44,2025-12-19 17:41:44
48,14,418654,App\Models\Customer,,Pues me da UD un abanico de posibilidades,text,,,2025-12-19 17:42:19,2025-12-19 17:42:19
49,14,418654,App\Models\Customer,,Un promedio de 300 a 400 debo reducir personal.,text,,,2025-12-19 17:43:39,2025-12-19 17:43:39
50,14,418654,App\Models\Customer,,Y si aumentar producción,text,,,2025-12-19 17:43:55,2025-12-19 17:43:55
51,14,418654,App\Models\Customer,,Cúcuta colombia,text,,,2025-12-19 17:44:24,2025-12-19 17:44:24
52,14,418654,App\Models\Customer,,Uds?,text,,,2025-12-19 17:44:31,2025-12-19 17:44:31
53,14,418654,App\Models\Customer,,La ref. De máquina es demasiado elemental tiene una más mecanizada?,text,,,2025-12-19 17:45:33,2025-12-19 17:45:33
54,14,418654,App\Models\Customer,,Me puede dar una imagen?,text,,,2025-12-19 17:46:56,2025-12-19 17:46:56
55,14,418654,App\Models\Customer,,"Gracias.
Las estudio y luego hablamos, Cúcuta es la capital del pastel y etc.",text,,,2025-12-19 17:48:21,2025-12-19 17:48:21
56,14,418654,App\Models\Customer,,"A UD por su atención, gracias mil.",text,,,2025-12-19 17:49:25,2025-12-19 17:49:25
57,1,673123,App\Models\Customer,,hola,text,,,2025-12-19 18:13:28,2025-12-19 18:13:28
58,15,673568,App\Models\Customer,,Buenas tardes,text,,,2025-12-19 18:52:47,2025-12-19 18:52:47
59,15,673568,App\Models\Customer,,Claro que sí,text,,,2025-12-19 18:53:41,2025-12-19 18:53:41
60,15,673568,App\Models\Customer,,A mano,text,,,2025-12-19 19:04:04,2025-12-19 19:04:04
61,15,673568,App\Models\Customer,,"De trigo, de maíz y pasteles de yuca",text,,,2025-12-19 19:05:46,2025-12-19 19:05:46
62,15,673568,App\Models\Customer,,Tajadas de plátano en paquete,text,,,2025-12-19 19:06:38,2025-12-19 19:06:38
63,15,673568,App\Models\Customer,,Sí aproximadamente 1.000,text,,,2025-12-19 19:07:30,2025-12-19 19:07:30
64,6,441751,App\Models\Customer,,Que precio?,text,,,2025-12-19 20:37:59,2025-12-19 20:37:59
65,16,673571,App\Models\Customer,,Estoy empezando,text,,,2025-12-19 20:53:38,2025-12-19 20:53:38
66,16,673571,App\Models\Customer,,No e definido,text,,,2025-12-19 20:54:47,2025-12-19 20:54:47
67,16,673571,App\Models\Customer,,De maiz,text,,,2025-12-19 20:59:02,2025-12-19 20:59:02
68,16,673571,App\Models\Customer,,Si,text,,,2025-12-19 20:59:41,2025-12-19 20:59:41
69,16,673571,App\Models\Customer,,Bucaramanga,text,,,2025-12-19 21:00:17,2025-12-19 21:00:17
70,16,673571,App\Models\Customer,,Envíeme ficha técnica,text,,,2025-12-19 21:01:41,2025-12-19 21:01:41
71,16,673571,App\Models\Customer,,Esa es la más económica,text,,,2025-12-19 21:02:03,2025-12-19 21:02:03
72,16,673571,App\Models\Customer,,No  gracias,text,,,2025-12-19 21:04:01,2025-12-19 21:04:01
73,17,673574,App\Models\Customer,,Gracias por comunicarte con LORMAGIC EVENTOS. ¿Cómo podemos ayudarte?,text,,,2025-12-19 21:33:37,2025-12-19 21:33:37
74,17,673574,App\Models\Customer,,Claro,text,,,2025-12-19 21:34:22,2025-12-19 21:34:22
75,17,673574,App\Models\Customer,,A mano,text,,,2025-12-19 21:35:02,2025-12-19 21:35:02
76,17,673574,App\Models\Customer,,Todos,text,,,2025-12-19 21:50:05,2025-12-19 21:50:05
77,17,673574,App\Models\Customer,,Sii,text,,,2025-12-19 21:51:02,2025-12-19 21:51:02
78,17,673574,App\Models\Customer,,X favor,text,,,2025-12-19 21:51:04,2025-12-19 21:51:04
79,17,673574,App\Models\Customer,,Ecuador 😌,text,,,2025-12-19 21:51:39,2025-12-19 21:51:39
80,17,673574,App\Models\Customer,,De donde son?,text,,,2025-12-19 21:52:22,2025-12-19 21:52:22
81,18,673577,App\Models\Customer,,"¡Bienvenido al Bocaito F&M! Gracias por contactarnos. Estamos aquí para ayudarte con cualquier pregunta o inquietud que tengas sobre nuestros productos/servicios. 

CARTA
https://elbocaitofym.my.canva.site/",text,,,2025-12-19 23:36:54,2025-12-19 23:36:54
82,18,673577,App\Models\Customer,,Que remos cotizar unas maquinas,text,,,2025-12-19 23:40:47,2025-12-19 23:40:47
83,18,673577,App\Models\Customer,,La mojadora,text,,,2025-12-19 23:40:54,2025-12-19 23:40:54
84,18,673577,App\Models\Customer,,Molino,text,,,2025-12-19 23:41:00,2025-12-19 23:41:00
85,18,673577,App\Models\Customer,,Para armar empanadas si podemos conseguir un molde igual al de nosotros,text,,,2025-12-19 23:41:23,2025-12-19 23:41:23
86,18,673577,App\Models\Customer,,Más opsiciones,text,,,2025-12-19 23:44:15,2025-12-19 23:44:15
87,18,673577,App\Models\Customer,,Empanadas y pasteles de maíz,text,,,2025-12-19 23:45:02,2025-12-19 23:45:02
88,18,673577,App\Models\Customer,,Si más de 200,text,,,2025-12-19 23:45:40,2025-12-19 23:45:40
89,18,673577,App\Models\Customer,,"Colombia, Antioquia, municipio de girardota",text,,,2025-12-19 23:46:28,2025-12-19 23:46:28
90,18,673577,App\Models\Customer,,Envíame un vídeo de esa,text,,,2025-12-19 23:47:29,2025-12-19 23:47:29
91,18,673577,App\Models\Customer,,Que funciones tiene esa máquina,text,,,2025-12-19 23:49:41,2025-12-19 23:49:41
92,18,673577,App\Models\Customer,,Incluye el compresor de aire,text,,,2025-12-19 23:51:03,2025-12-19 23:51:03
93,19,673578,App\Models\Customer,,A mano,text,,,2025-12-20 00:45:59,2025-12-20 00:45:59
94,19,673578,App\Models\Customer,,A mano,text,,,2025-12-20 00:46:56,2025-12-20 00:46:56
95,19,673578,App\Models\Customer,,Empanadas de maiz,text,,,2025-12-20 00:47:38,2025-12-20 00:47:38
96,19,673578,App\Models\Customer,,Si,text,,,2025-12-20 00:48:53,2025-12-20 00:48:53
97,19,673578,App\Models\Customer,,Cali,text,,,2025-12-20 00:49:20,2025-12-20 00:49:20
98,19,673578,App\Models\Customer,,Colombia,text,,,2025-12-20 00:49:27,2025-12-20 00:49:27
99,20,673579,App\Models\Customer,,"Gracias por comunicarte con TOMMASO. En el perfil encontrarás el menú.
¡Haz tu pedido!📲🍔🌭🍟🍗🧆",text,,,2025-12-20 01:22:52,2025-12-20 01:22:52
100,21,673579,App\Models\Customer,,"Gracias por tu mensaje. En este momento no podemos responder, pero lo haremos lo antes posible.",text,,,2025-12-20 01:22:52,2025-12-20 01:22:52
101,22,407585,App\Models\Customer,,"Gracias por comunicarte con Empanadas  La Jefa. Tu eres importante para nosotros.
 ¿Cómo podemos ayudarte?",text,,,2025-12-20 04:56:38,2025-12-20 04:56:38
102,6,441751,App\Models\Customer,,Maíz peto,text,,,2025-12-20 06:46:57,2025-12-20 06:46:57
103,8,191300,App\Models\Customer,,,voice,,,2025-12-20 07:04:44,2026-01-05 12:37:34
105,8,191300,App\Models\Customer,,,attachment,,,2025-12-20 07:04:46,2026-01-05 12:37:34
106,8,191300,App\Models\Customer,,,voice,,,2025-12-20 07:05:32,2026-01-05 12:37:34
107,8,191300,App\Models\Customer,,,attachment,,,2025-12-20 07:05:32,2026-01-05 12:37:34
108,6,441751,App\Models\Customer,,Empanadas arepas de huevo arepas de queso,text,,,2025-12-20 07:12:41,2025-12-20 07:12:41
109,23,440639,App\Models\Customer,,https://youtu.be/FmR_AN47Kic?si=K-5GukEKprEJNxsD,text,,,2025-12-20 07:22:10,2025-12-20 07:22:10
110,24,673582,App\Models\Customer,,"Gracias por tu mensaje. En este momento no podemos responder, pero lo haremos lo antes posible.",text,,,2025-12-20 09:13:23,2025-12-20 09:13:23
111,25,673575,App\Models\Customer,,Estoy empezando,text,,,2025-12-20 09:37:09,2025-12-20 09:37:09
112,26,658231,App\Models\Customer,,https://cocacola.com@rvfk.xyz/premiocoke-26,text,,,2025-12-20 09:43:36,2025-12-20 09:43:36
113,25,673575,App\Models\Customer,,A un no produsco,text,,,2025-12-20 09:45:06,2025-12-20 09:45:06
114,25,673575,App\Models\Customer,,Mi idea es poner una fabrica de empanadas,text,,,2025-12-20 09:45:32,2025-12-20 09:45:32
115,25,673575,App\Models\Customer,,Pero  quiero una máquina para hacerlas,text,,,2025-12-20 09:46:01,2025-12-20 09:46:01
116,25,673575,App\Models\Customer,,Empanada de maiz,text,,,2025-12-20 09:46:08,2025-12-20 09:46:08
117,25,673575,App\Models\Customer,,Si más de 200,text,,,2025-12-20 09:46:55,2025-12-20 09:46:55
118,25,673575,App\Models\Customer,,La fabrica la quiero poner con punto de venta,text,,,2025-12-20 09:47:13,2025-12-20 09:47:13
119,25,673575,App\Models\Customer,,Bogotá,text,,,2025-12-20 09:47:28,2025-12-20 09:47:28
120,25,673575,App\Models\Customer,,Uyy no,text,,,2025-12-20 09:49:51,2025-12-20 09:49:51
121,25,673575,App\Models\Customer,,Muy cara,text,,,2025-12-20 09:49:56,2025-12-20 09:49:56
122,25,673575,App\Models\Customer,,Que precio,text,,,2025-12-20 09:50:52,2025-12-20 09:50:52
123,25,673575,App\Models\Customer,,Si porfavor,text,,,2025-12-20 09:52:34,2025-12-20 09:52:34
124,25,673575,App\Models\Customer,,Y un video,text,,,2025-12-20 09:52:37,2025-12-20 09:52:37
125,25,673575,App\Models\Customer,,Esa estaría muy bien,text,,,2025-12-20 09:55:26,2025-12-20 09:55:26
126,25,673575,App\Models\Customer,,Cuánto sería el minimo,text,,,2025-12-20 09:55:40,2025-12-20 09:55:40
127,25,673575,App\Models\Customer,,Que garantia,text,,,2025-12-20 09:58:07,2025-12-20 09:58:07
128,25,673575,App\Models\Customer,,Con cuántos moldes la entregan,text,,,2025-12-20 09:58:16,2025-12-20 09:58:16
129,15,673568,App\Models\Customer,,A mano,text,,,2025-12-20 09:59:13,2025-12-20 09:59:13
130,25,673575,App\Models\Customer,,Si,text,,,2025-12-20 09:59:31,2025-12-20 09:59:31
131,15,673568,App\Models\Customer,,Colombia-Tunja,text,,,2025-12-20 10:00:24,2025-12-20 10:00:24
132,15,673568,App\Models\Customer,,En qué lugar tienen su empresa ?,text,,,2025-12-20 10:03:32,2025-12-20 10:03:32
133,15,673568,App\Models\Customer,,Cuánto cuesta esta máquina?,text,,,2025-12-20 10:04:50,2025-12-20 10:04:50
134,15,673568,App\Models\Customer,,Hago en las dos,text,,,2025-12-20 10:05:40,2025-12-20 10:05:40
135,15,673568,App\Models\Customer,,Tienes un video del funcionamiento de esta máquina?,text,,,2025-12-20 10:06:58,2025-12-20 10:06:58
136,15,673568,App\Models\Customer,,Te agradezco al igual la ficha técnica,text,,,2025-12-20 10:07:31,2025-12-20 10:07:31
137,15,673568,App\Models\Customer,,sandraf395@gmail.com,text,,,2025-12-20 10:09:22,2025-12-20 10:09:22
138,15,673568,App\Models\Customer,,En verdad prefiero la información mensaje,text,,,2025-12-20 10:09:45,2025-12-20 10:09:45
139,15,673568,App\Models\Customer,,Con Sandra Fonseca,text,,,2025-12-20 10:51:51,2025-12-20 10:51:51
140,15,673568,App\Models\Customer,,Sí muchas gracias,text,,,2025-12-20 10:52:06,2025-12-20 10:52:06
141,18,673577,App\Models\Customer,,,attachment,,,2025-12-20 11:14:29,2025-12-20 11:14:29
142,27,433268,App\Models\Customer,,Hola buenas tardes sobre la maquina de salgados e emapandas,text,,,2025-12-20 12:47:10,2025-12-20 12:47:10
143,27,433268,App\Models\Customer,,Preciso de la makina e um.poco mas de informacio  imagens de la.makina por favor,text,,,2025-12-20 12:48:24,2025-12-20 12:48:24
144,27,433268,App\Models\Customer,,El precio por favor,text,,,2025-12-20 12:50:13,2025-12-20 12:50:13
145,27,433268,App\Models\Customer,,De coxinhas tmabem e empadas tambien e la misma,text,,,2025-12-20 12:53:23,2025-12-20 12:53:23
146,28,673586,App\Models\Customer,,A mano,text,,,2025-12-20 14:09:37,2025-12-20 14:09:37
147,28,673586,App\Models\Customer,,Quiero empezar,text,,,2025-12-20 14:09:44,2025-12-20 14:09:44
148,28,673586,App\Models\Customer,,Evaluando la idea con una máquina,text,,,2025-12-20 14:11:12,2025-12-20 14:11:12
149,28,673586,App\Models\Customer,,Empanadas de maíz con varios rellenos,text,,,2025-12-20 14:11:58,2025-12-20 14:11:58
150,28,673586,App\Models\Customer,,Mi proyecto sería más de 200,text,,,2025-12-20 14:14:31,2025-12-20 14:14:31
151,28,673586,App\Models\Customer,,Ecuador,text,,,2025-12-20 14:15:14,2025-12-20 14:15:14
152,28,673586,App\Models\Customer,,Si por favor,text,,,2025-12-20 14:16:14,2025-12-20 14:16:14
153,27,433268,App\Models\Customer,,Barcelona,text,,,2025-12-20 14:18:22,2025-12-20 14:18:22
154,28,673586,App\Models\Customer,,Gracias,text,,,2025-12-20 14:19:54,2025-12-20 14:19:54
155,29,673587,App\Models\Customer,,Bendecido Día les desea Fritos la 27 que te podemos ofrecer 🥐🥐🥤🥛☕ya tomamos tu pedido😄😄,text,,,2025-12-20 14:26:54,2025-12-20 14:26:54
156,30,673183,App\Models\Customer,,Hola,text,,,2025-12-20 14:37:28,2025-12-20 14:37:28
157,31,673588,App\Models\Customer,,Aún no produce,text,,,2025-12-20 14:42:27,2025-12-20 14:42:27
158,31,673588,App\Models\Customer,,Estoy empezando,text,,,2025-12-20 14:42:31,2025-12-20 14:42:31
159,31,673588,App\Models\Customer,,Empanadas de maíz,text,,,2025-12-20 14:46:31,2025-12-20 14:46:31
160,31,673588,App\Models\Customer,,Si,text,,,2025-12-20 14:49:45,2025-12-20 14:49:45
161,31,673588,App\Models\Customer,,Bogotá,text,,,2025-12-20 14:53:17,2025-12-20 14:53:17
162,31,673588,App\Models\Customer,,La ficha técnica,text,,,2025-12-20 15:03:04,2025-12-20 15:03:04
163,31,673588,App\Models\Customer,,Fotos y videos porfa,text,,,2025-12-20 15:04:31,2025-12-20 15:04:31
164,32,660938,App\Models\Customer,,Tengo máquina,text,,,2025-12-20 16:49:59,2025-12-20 16:49:59
165,32,660938,App\Models\Customer,,Empanada,text,,,2025-12-20 16:54:15,2025-12-20 16:54:15
166,32,660938,App\Models\Customer,,Maíz,text,,,2025-12-20 16:54:55,2025-12-20 16:54:55
167,32,660938,App\Models\Customer,,800 en promedio,text,,,2025-12-20 16:59:56,2025-12-20 16:59:56
168,32,660938,App\Models\Customer,,Colombia Bogotá,text,,,2025-12-20 17:00:40,2025-12-20 17:00:40
169,32,660938,App\Models\Customer,,Si por favor,text,,,2025-12-20 17:01:34,2025-12-20 17:01:34
170,32,660938,App\Models\Customer,,Tienes videos del funcionamiento?,text,,,2025-12-20 17:02:55,2025-12-20 17:02:55
