id,conversation_id,role,participantable_id,participantable_type,exited_at,last_active_at,conversation_cleared_at,conversation_deleted_at,conversation_read_at,deleted_at,created_at,updated_at
1,1,owner,1,App\Models\User,,2025-12-21 21:54:08,,,2025-12-21 21:54:08,,2025-12-19 08:32:52,2025-12-21 21:54:08
2,1,owner,673123,App\Models\Customer,,,,,,,2025-12-19 08:32:52,2025-12-19 08:32:52
3,2,owner,1,App\Models\User,,,,,,,2025-12-19 08:36:53,2025-12-19 08:36:53
4,2,owner,670041,App\Models\Customer,,,,,,,2025-12-19 08:36:53,2025-12-19 08:36:53
5,3,owner,1,App\Models\User,,,,,,,2025-12-19 09:01:54,2025-12-19 09:01:54
6,3,owner,673549,App\Models\Customer,,,,,,,2025-12-19 09:01:54,2025-12-19 09:01:54
7,4,owner,1,App\Models\User,,,,,,,2025-12-19 09:20:26,2025-12-19 09:20:26
8,4,owner,673550,App\Models\Customer,,,,,,,2025-12-19 09:20:26,2025-12-19 09:20:26
9,5,owner,1,App\Models\User,,,,,,,2025-12-19 09:39:35,2025-12-19 09:39:35
10,5,owner,651305,App\Models\Customer,,,,,,,2025-12-19 09:39:35,2025-12-19 09:39:35
11,6,owner,1,App\Models\User,,,,,,,2025-12-19 09:55:21,2025-12-19 09:55:21
12,6,owner,441751,App\Models\Customer,,,,,,,2025-12-19 09:55:21,2025-12-19 09:55:21
13,7,owner,1,App\Models\User,,,,,,,2025-12-19 10:23:52,2025-12-19 10:23:52
14,8,owner,1,App\Models\User,,,,,,,2025-12-19 10:23:52,2025-12-19 10:23:52
15,7,owner,191300,App\Models\Customer,,,,,,,2025-12-19 10:23:52,2026-01-05 12:37:34
16,8,owner,191300,App\Models\Customer,,,,,,,2025-12-19 10:23:52,2026-01-05 12:37:34
17,9,owner,1,App\Models\User,,,,,,,2025-12-19 12:36:14,2025-12-19 12:36:14
18,9,owner,673556,App\Models\Customer,,,,,,,2025-12-19 12:36:14,2025-12-19 12:36:14
19,10,owner,1,App\Models\User,,,,,,,2025-12-19 13:19:29,2025-12-19 13:19:29
20,10,owner,673558,App\Models\Customer,,,,,,,2025-12-19 13:19:29,2025-12-19 13:19:29
21,11,owner,1,App\Models\User,,,,,,,2025-12-19 14:33:01,2025-12-19 14:33:01
22,11,owner,673559,App\Models\Customer,,,,,,,2025-12-19 14:33:01,2025-12-19 14:33:01
23,12,owner,1,App\Models\User,,,,,,,2025-12-19 14:37:01,2025-12-19 14:37:01
24,12,owner,673560,App\Models\Customer,,,,,,,2025-12-19 14:37:01,2025-12-19 14:37:01
25,13,owner,1,App\Models\User,,,,,,,2025-12-19 16:58:08,2025-12-19 16:58:08
26,13,owner,672338,App\Models\Customer,,,,,,,2025-12-19 16:58:08,2025-12-19 16:58:08
27,14,owner,1,App\Models\User,,,,,,,2025-12-19 17:34:48,2025-12-19 17:34:48
28,14,owner,418654,App\Models\Customer,,,,,,,2025-12-19 17:34:48,2025-12-19 17:34:48
